Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"CliCrumbExclusion.java",23,,"1.13"
File,"CliLink.java",36,,"0.72"
File,"CliTransportAuthenticator.java",12,,"1.92"
File,"ClockDifference.java",53,,"0.91"
File,"ClockMonitor.java",43,,"0.81"
File,"ClockMonitorDescriptorTest.java",30,,"0.20"
File,"CloneableCLICommand.java",11,,"2.73"
File,"CloseProofOutputStream.java",11,,"2.45"
File,"Cloud.java",109,,"1.68"
File,"CloudProvisioningListener.java",43,,"1.86"
File,"CloudProvisioningListenerTest.java",28,,"0.00"
File,"CloudRetentionStrategy.java",39,,"0.85"
File,"CloudSlaveRetentionStrategy.java",44,,"0.61"
File,"CloudTest.java",115,,"0.09"
File,"CollectionSearchIndex.java",38,,"0.92"
File,"ColorPalette.java",27,,"1.26"
File,"ComboBoxModel.java",31,,"0.90"
File,"ComboBoxTest.java",122,,"0.30"
File,"CommandInstaller.java",31,,"0.87"
File,"CommandInstallerTest.java",13,,"0.38"
File,"CommandInterpreter.java",124,,"0.53"
File,"CommandInterpreterTest.java",58,,"0.02"
File,"CompletedInitializationMonitor.java",21,,"1.48"
File,"CompositeCauseOfBlockage.java",28,,"0.93"
File,"CompositeIOException.java",40,,"1.12"
File,"CompoundEnumeration.java",32,,"0.16"
File,"CompoundEnumerationTest.java",67,,"0.00"
File,"CompressedFile.java",94,,"0.74"
File,"Computer.java",1025,,"0.64"
File,"ComputerConfigDotXmlTest.java",211,,"0.13"
File,"ComputerConnector.java",13,,"3.15"
File,"ComputerConnectorDescriptor.java",9,,"0.67"
File,"ComputerLauncher.java",72,,"1.74"
File,"ComputerLauncherFilter.java",34,,"1.06"
File,"ComputerLauncherTest.java",109,,"0.22"
File,"ComputerListener.java",44,,"4.11"
File,"ComputerPanelBox.java",22,,"0.77"
File,"ComputerPinger.java",34,,"0.71"
File,"ComputerRetentionWork.java",38,,"0.89"
File,"ComputerSet.java",323,,"0.32"
File,"ComputerSetTest.java",83,,"0.45"
File,"ComputerStateTest.java",112,,"0.26"
File,"ComputerTest.java",143,,"0.19"
File,"ComputerTest.java",39,,"0.10"
File,"ConfidentialKey.java",22,,"1.27"
File,"ConfidentialStore.java",93,,"0.49"
File,"ConfidentialStoreRule.java",8,,"0.38"
File,"Configuration.java",16,,"1.62"
File,"ConfigureLink.java",36,,"0.72"
File,"ConfirmationLinkTest.java",142,,"0.18"
File,"ConnectNodeCommand.java",45,,"0.62"
File,"ConnectNodeCommandTest.java",134,,"0.20"
File,"Connection.java",173,,"0.41"
File,"ConnectionActivityMonitor.java",61,,"0.70"
File,"ConsistentHash.java",190,,"0.76"
File,"ConsistentHashTest.java",133,,"0.34"
File,"ConsoleAnnotationDescriptor.java",43,,"1.00"
File,"ConsoleAnnotationOutputStream.java",109,,"0.56"
File,"ConsoleAnnotator.java",64,,"1.39"
File,"ConsoleAnnotatorFactory.java",47,,"1.60"
File,"ConsoleAnnotatorTest.java",287,,"0.16"
File,"ConsoleCommand.java",119,,"0.10"
File,"ConsoleCommandTest.java",210,,"0.15"
File,"ConsoleLink.java",35,,"0.74"
File,"ConsoleLogFilter.java",38,,"1.89"
File,"ConsoleLogFilterTest.java",39,,"0.15"
File,"ConsoleNote.java",180,,"1.03"
File,"ContainerAuthentication.java",57,,"0.74"
File,"ContextMenuTest.java",71,,"0.32"
File,"ContextResettingExecutorService.java",42,,"0.19"
File,"ControllerExecutorsAgents.java",39,,"0.59"
File,"ControllerExecutorsAgentsTest.java",38,,"0.61"
File,"ControllerExecutorsNoAgents.java",41,,"0.56"
File,"ControllerExecutorsNoAgentsTest.java",38,,"0.61"
File,"CopyJobCommand.java",42,,"0.67"
File,"CopyJobCommandTest.java",97,,"0.29"
File,"CopyOnWrite.java",11,,"3.73"
File,"CopyOnWriteList.java",131,,"0.42"
File,"CopyOnWriteListTest.java",40,,"0.72"
File,"CopyOnWriteMap.java",173,,"0.31"
File,"CopyOnWriteMapTest.java",87,,"0.38"
File,"CoreEnvironmentContributor.java",58,,"0.14"
File,"CoreEnvironmentContributorTest.java",53,,"0.04"
File,"CoreJellyTest.java",11,,"2.55"
File,"CorePropertiesTest.java",11,,"2.36"
File,"Correlator.java",33,,"0.91"
File,"CreateItemTest.java",93,,"0.30"
File,"CreateJobCommand.java",40,,"0.70"
File,"CreateJobCommandTest.java",79,,"0.30"
File,"CreateNodeCommand.java",29,,"0.97"
File,"CreateNodeCommandTest.java",163,,"0.16"
File,"CreateViewCommand.java",32,,"0.84"
File,"CreateViewCommandTest.java",81,,"0.28"
File,"CredentialsExpiredException.java",20,,"1.30"
File,"CriticalXStreamException.java",9,,"3.11"
File,"CronTab.java",322,,"0.64"
File,"CronTabDayOfWeekLocaleTest.java",255,,"0.27"
File,"CronTabEventualityTest.java",103,,"0.12"
File,"CronTabList.java",94,,"0.51"
File,"CronTabTest.java",234,,"0.26"
File,"CrumbExclusion.java",14,,"1.57"
File,"CrumbExclusionTest.java",91,,"0.27"
